x-axis,1,2
second,Volt,Volt
-34.4063E-09,-273.3589794843E-03,+197.3143823088E-03
-33.6250E-09,-269.4996830433E-03,+195.0631260515E-03
-32.8438E-09,-261.6202861427E-03,+193.0530758218E-03
-32.0625E-09,-259.3690298854E-03,+189.1133773715E-03
-31.2813E-09,-257.3589796557E-03,+181.2339804710E-03
-30.5000E-09,-257.2785776465E-03,+173.1937795521E-03
-29.7188E-09,-253.4192812054E-03,+171.1837293224E-03
-28.9375E-09,-245.5398843049E-03,+168.9425233162E-03
-28.1563E-09,-243.5298340752E-03,+161.1334781737E-03
-27.3750E-09,-241.2886280690E-03,+153.0932772548E-03
-26.5938E-09,-233.4795829265E-03,+146.5003125013E-03
-25.8125E-09,-225.4393820076E-03,+140.9324733650E-03
-25.0313E-09,-220.7760654746E-03,+140.7113678397E-03
-24.2500E-09,-217.2182765680E-03,+129.1334785165E-03
-23.4688E-09,-213.2182766109E-03,+120.9324735792E-03
-22.6875E-09,-201.4795832692E-03,+117.2339811565E-03
-21.9063E-09,-193.2785783320E-03,+112.7515691442E-03
-21.1250E-09,-189.3388798817E-03,+100.9927753003E-03
-20.3438E-09,-185.0876236458E-03,+88.9324739219E-03
-19.5625E-09,-173.3388800531E-03,+88.4500618668E-03
-18.7813E-09,-165.1378751158E-03,+88.4500618668E-03
-18.0000E-09,-157.0976741968E-03,+73.0128761024E-03
-17.2188E-09,-150.7459154709E-03,+64.6510671468E-03
-16.4375E-09,-141.0876241171E-03,+52.7515697868E-03
-15.6563E-09,-132.9770714401E-03,+48.6510673181E-03
-14.8750E-09,-124.9368705212E-03,+44.3998110823E-03
-14.0938E-09,-116.6554635747E-03,+32.6510674895E-03
-13.3125E-09,-108.8464184322E-03,+24.4500625522E-03
-12.5313E-09,-96.9569713234E-03,+19.5455399917E-03
-11.7500E-09,-88.7559663861E-03,+16.2189068615E-03
-10.9688E-09,-76.8564690261E-03,+4.5103642733E-03
-10.1875E-09,-69.8614942266E-03,-3.6906406640E-03
-9.4063E-09,-60.6655144256E-03,-15.5901380240E-03
