Freq.	V(ref)/V(tee)
3.22840000000000e+07	1.86560455775285e+00,9.83660498057958e-02
3.24420000000000e+07	1.86885132828425e+00,9.27505438430353e-02
3.26000000000000e+07	1.87200029695077e+00,8.70172506196485e-02
3.27580000000000e+07	1.87504707753509e+00,8.11676583885500e-02
3.29160000000000e+07	1.87798727667087e+00,7.52034421062939e-02
3.30740000000000e+07	1.88081650259084e+00,6.91264670791664e-02
3.32320000000000e+07	1.88353037426577e+00,6.29387921823134e-02
3.33900000000000e+07	1.88612453091501e+00,5.66426726154297e-02
3.35480000000000e+07	1.88859464186536e+00,5.02405621590571e-02
3.37060000000000e+07	1.89093641673230e+00,4.37351148964861e-02
3.38640000000000e+07	1.89314561589358e+00,3.71291863673514e-02
3.40220000000000e+07	1.89521806122223e+00,3.04258341206374e-02
3.41800000000000e+07	1.89714964704230e+00,2.36283176365969e-02
3.43380000000000e+07	1.89893635126783e+00,1.67400975893867e-02
3.44960000000000e+07	1.90057424668194e+00,9.76483442474510e-03
3.46540000000000e+07	1.90205951231017e+00,2.70638622999317e-03
3.48120000000000e+07	1.90338844483950e+00,-4.43119412309030e-03
3.49700000000000e+07	1.90455747003161e+00,-1.16436625784090e-02
3.51280000000000e+07	1.90556315407701e+00,-1.89265882506150e-02
3.52860000000000e+07	1.90640221483445e+00,-2.62753585428839e-02
3.54440000000000e+07	1.90707153289855e+00,-3.36851850306563e-02
3.56020000000000e+07	1.90756816243739e+00,-4.11511101099349e-02
3.57600000000000e+07	1.90788934174073e+00,-4.86680144038015e-02
3.59180000000000e+07	1.90803250341974e+00,-5.62306249157929e-02
3.60760000000000e+07	1.90799528419855e+00,-6.38335239135749e-02
3.62340000000000e+07	1.90777553423918e+00,-7.14711585211235e-02
3.63920000000000e+07	1.90737132594204e+00,-7.91378509924091e-02
3.65500000000000e+07	1.90678096216623e+00,-8.68278096343138e-02
3.67080000000000e+07	1.90600298381572e+00,-9.45351403414583e-02
3.68660000000000e+07	1.90503617674040e+00,-1.02253858700620e-01
3.70240000000000e+07	1.90387957790400e+00,-1.09977902617686e-01
3.71820000000000e+07	1.90253248077462e+00,-1.17701145415624e-01
3.73400000000000e+07	1.90099443989788e+00,-1.25417409347741e-01
3.74980000000000e+07	1.89926527461692e+00,-1.33120479466777e-01
3.76560000000000e+07	1.89734507190872e+00,-1.40804117786950e-01
3.78140000000000e+07	1.89523418831160e+00,-1.48462077673224e-01
3.79720000000000e+07	1.89293325092387e+00,-1.56088118389625e-01
3.81300000000000e+07	1.89044315746009e+00,-1.63676019736612e-01
3.82880000000000e+07	1.88776507535699e+00,-1.71219596706207e-01
3.84460000000000e+07	1.88490043992740e+00,-1.78712714082876e-01
3.86040000000000e+07	1.88185095156693e+00,-1.86149300918098e-01
3.87620000000000e+07	1.87861857202402e+00,-1.93523364806996e-01
3.89200000000000e+07	1.87520551975063e+00,-2.00829005896588e-01
3.90780000000000e+07	1.87161426435634e+00,-2.08060430556898e-01
3.92360000000000e+07	1.86784752019492e+00,-2.15211964648424e-01
3.93940000000000e+07	1.86390823911783e+00,-2.22278066322370e-01
3.95520000000000e+07	1.85979960243417e+00,-2.29253338293345e-01
3.97100000000000e+07	1.85552501212202e+00,-2.36132539528100e-01
3.98680000000000e+07	1.85108808134006e+00,-2.42910596298188e-01
4.00260000000000e+07	1.84649262429263e+00,-2.49582612549047e-01
4.01840000000000e+07	1.84174264550508e+00,-2.56143879543069e-01
4.03420000000000e+07	1.83684232856883e+00,-2.62589884739459e-01
4.05000000000000e+07	1.83179602441860e+00,-2.68916319879239e-01
4.06580000000000e+07	1.82660823920553e+00,-2.75119088249371e-01
4.08160000000000e+07	1.82128362183195e+00,-2.81194311105762e-01
4.09740000000000e+07	1.81582695121365e+00,-2.87138333240699e-01
4.11320000000000e+07	1.81024312333627e+00,-2.92947727686036e-01
4.12900000000000e+07	1.80453713817174e+00,-2.98619299549101e-01
4.14480000000000e+07	1.79871408651997e+00,-3.04150088983928e-01
4.16060000000000e+07	1.79277913683974e+00,-3.09537373305652e-01
4.17640000000000e+07	1.78673752213062e+00,-3.14778668261145e-01
4.19220000000000e+07	1.78059452692577e+00,-3.19871728473714e-01
4.20800000000000e+07	1.77435547445279e+00,-3.24814547084273e-01
4.22380000000000e+07	1.76802571401649e+00,-3.29605354615539e-01
4.23960000000000e+07	1.76161060865457e+00,-3.34242617089608e-01
4.25540000000000e+07	1.75511552311331e+00,-3.38725033432686e-01
4.27120000000000e+07	1.74854581218665e+00,-3.43051532203733e-01
4.28700000000000e+07	1.74190680945820e+00,-3.47221267686341e-01
4.30280000000000e+07	1.73520381648151e+00,-3.51233615385371e-01
4.31860000000000e+07	1.72844209242989e+00,-3.55088166971537e-01
4.33440000000000e+07	1.72162684424274e+00,-3.58784724718503e-01
4.35020000000000e+07	1.71476321729137e+00,-3.62323295477950e-01
4.36600000000000e+07	1.70785628658310e+00,-3.65704084238581e-01
4.38180000000000e+07	1.70091104851814e+00,-3.68927487315229e-01
4.39760000000000e+07	1.69393241321045e+00,-3.71994085213985e-01
4.41340000000000e+07	1.68692519737916e+00,-3.74904635218790e-01
