Record Length,Analog:350
Sample Interval,CH:0.0000000020000
Vertical Units,CH1:V CH2:V CH3:V,,,
Vertical Scale,CH1:+1.000000E+00 CH2:+1.000000E+00 CH3:+1.000000E+00,,,
Vertical Offset,CH1:-2.000000E+00 CH2:-2.000000E+00 CH3:-2.000000E+00,,,
Horizontal Units,us,,,
Horizontal Scale,0.0500000000,,,
Model Number,SDS1104X-E,,,
Serial Number,SDSMMFCQ5R6893,,,
Software Version,8.1.6.1.35R2,,,
Source,CH1,CH2,CH3
Second,Volt,Volt,Volt
+3.560000E-07,+5.160000E+00,+5.080000E+00,+5.480000E+00
+3.580000E-07,+5.160000E+00,+5.080000E+00,+5.480000E+00
+3.600000E-07,+5.200000E+00,+5.080000E+00,+5.520000E+00
+3.620000E-07,+5.200000E+00,+5.080000E+00,+5.560000E+00
+3.640000E-07,+5.160000E+00,+5.080000E+00,+5.600000E+00
+3.660000E-07,+5.160000E+00,+5.120000E+00,+5.600000E+00
+3.680000E-07,+5.120000E+00,+5.120000E+00,+5.600000E+00
+3.700000E-07,+5.120000E+00,+5.160000E+00,+5.640000E+00
+3.720000E-07,+5.120000E+00,+5.160000E+00,+5.640000E+00
+3.740000E-07,+5.120000E+00,+5.160000E+00,+5.640000E+00
+3.760000E-07,+5.120000E+00,+5.160000E+00,+5.640000E+00
+3.780000E-07,+5.080000E+00,+5.160000E+00,+5.600000E+00
+3.800000E-07,+5.040000E+00,+5.160000E+00,+5.560000E+00
+3.820000E-07,+4.960000E+00,+5.160000E+00,+5.560000E+00
+3.840000E-07,+4.960000E+00,+5.200000E+00,+5.520000E+00
+3.860000E-07,+4.960000E+00,+5.240000E+00,+5.480000E+00
+3.880000E-07,+4.960000E+00,+5.280000E+00,+5.480000E+00
+3.900000E-07,+4.920000E+00,+5.320000E+00,+5.440000E+00
+3.920000E-07,+4.880000E+00,+5.320000E+00,+5.440000E+00
+3.940000E-07,+4.920000E+00,+5.360000E+00,+5.440000E+00
+3.960000E-07,+4.920000E+00,+5.360000E+00,+5.400000E+00
+3.980000E-07,+4.920000E+00,+5.360000E+00,+5.400000E+00
+4.000000E-07,+4.960000E+00,+5.320000E+00,+5.440000E+00
+4.020000E-07,+4.920000E+00,+5.320000E+00,+5.440000E+00
+4.040000E-07,+4.920000E+00,+5.280000E+00,+5.440000E+00
+4.060000E-07,+4.960000E+00,+5.280000E+00,+5.400000E+00
+4.080000E-07,+4.960000E+00,+5.240000E+00,+5.400000E+00
+4.100000E-07,+4.920000E+00,+5.240000E+00,+5.440000E+00
+4.120000E-07,+4.920000E+00,+5.200000E+00,+5.440000E+00
